"1","908a","rarely","always","always","often","always","often","24"
"2","b509f0","always","often","often","sometimes","sometimes","sometimes","29"
"3","c2ee74","always","always","sometimes","rarely","rarely","rarely","33"
"4","bfbfef","always","always","always","always","always","always","25"
"5","ef85","rarely","sometimes","rarely","rarely","rarely","sometimes","33"
"6","323e3c","sometimes","always","often","sometimes","always","sometimes","53"
"7","f919d4","always","often","often","sometimes","often","sometimes","124"
"8","d0cc61","always","always","sometimes","often","often","often","27"
"9","b1704b","sometimes","always","often","never","rarely","rarely","49"
"10","6ac6","always","often","often","sometimes","always","sometimes","35"
"11","679ab6","sometimes","always","often","sometimes","sometimes","sometimes","43"
"12","449abd","often","always","always","often","often","often","68"
"13","c3f133","always","always","often","sometimes","sometimes","sometimes","84"
"14","f56e83","often","always","often","often","sometimes","sometimes","35"
"15","268328","rarely","rarely","never","never","never","never","45"
"16","3e1aef","sometimes","never","idk","never","never","never","53"
"17","1cbd","always","always","often","rarely","often","rarely","56"
"18","d8ec4c","always","always","always","always","always","often","25"
"19","a4c560","rarely","always","rarely","sometimes","often","often","43"
"20","9b31","always","often","always","always","always","often","32"
"21","8d84ad","sometimes","never","often","sometimes","sometimes","sometimes","41"
"22","c7e2","often","often","sometimes","rarely","sometimes","rarely","42"
"23","17daab","sometimes","often","often","sometimes","sometimes","sometimes","30"
"24","bb8c17","often","always","sometimes","rarely","rarely","rarely","35"
"25","bb5725","sometimes","often","idk","never","idk","never","44"
"26","8a2e","never","rarely","idk","sometimes","often","often","51"
"27","8fc42f","never","rarely","sometimes","rarely","rarely","rarely","105"
"28","a278","rarely","rarely","sometimes","sometimes","often","sometimes","51"
"29","65bf89","often","often","idk","rarely","never","never","28"
"30","0d1a","sometimes","often","rarely","never","never","rarely","101"
"31","397aac","always","rarely","sometimes","sometimes","often","sometimes","18"
"32","d47a64","often","often","rarely","rarely","rarely","rarely","30"
"33","955e46","always","often","often","always","often","often","48"
"34","e2d6c5","never","never","rarely","rarely","never","never","38"
"35","73109b","sometimes","sometimes","rarely","never","never","never","36"
"36","3d1f41","always","always","often","sometimes","often","rarely","44"
"37","2dfc","sometimes","often","always","never","sometimes","never","42"
"38","fd246e","always","sometimes","sometimes","often","often","sometimes","79"
"39","ab70","often","rarely","never","never","never","rarely","124"
"40","9bfc58","always","always","sometimes","sometimes","sometimes","often","36"
"41","27f51b","rarely","rarely","rarely","never","sometimes","never","33"
"42","69de","always","often","often","never","sometimes","rarely","22"
"43","4096f1","sometimes","always","always","never","sometimes","rarely","29"
"44","09564c","often","often","rarely","never","sometimes","rarely","28"
"45","467b","never","always","rarely","never","never","never","51"
"46","15a738","often","sometimes","sometimes","rarely","rarely","rarely","34"
"47","be2f","always","often","sometimes","often","often","often","20"
"48","d10245","always","always","always","often","always","often","42"
"49","bbc0","sometimes","rarely","rarely","rarely","sometimes","often","35"
"50","a98556","often","always","sometimes","sometimes","sometimes","never","36"
"51","7528","sometimes","often","rarely","never","rarely","never","74"
"52","c81f","sometimes","idk","rarely","never","never","never","60"
"53","619d16","never","always","rarely","never","never","never","47"
"54","fb8586","sometimes","sometimes","sometimes","rarely","rarely","rarely","64"
"55","d0ad","idk","often","often","always","sometimes","sometimes","1145"
"56","5dc33c","rarely","sometimes","sometimes","sometimes","sometimes","never","20"
"57","45658b","sometimes","often","sometimes","rarely","often","sometimes","31"
"58","65a024","rarely","always","never","never","never","often","39"
"59","7ab4","sometimes","always","sometimes","sometimes","never","always","30"
"60","afef","sometimes","often","often","sometimes","sometimes","often","23"
"61","7b99e3","never","always","always","rarely","often","never","43"
"62","7341","often","often","sometimes","often","often","sometimes","25"
"63","198331","always","often","sometimes","sometimes","often","sometimes","67"
"64","ff5d","always","often","idk","never","never","never","38"
"65","6139","often","always","sometimes","sometimes","sometimes","never","41"
"66","5763fe","rarely","always","idk","never","rarely","rarely","54"
